,title,address,latitude,longitude,retailer_type
159,Dunkin',3833 Broadway,40.83569288,-73.94369632,Top 50 American fast-food chains
160,Little Caesars,3830 Broadway,40.83566543,-73.94368912,Top 50 American fast-food chains
161,Domino's,965 Amsterdam Ave.,40.80129327,-73.96506504,Top 50 American fast-food chains
162,Subway,3920 Broadway,40.83852989,-73.94159418,Top 50 American fast-food chains
163,Dunkin',1235 Amsterdam Ave.,40.80979444,-73.95886163,Top 50 American fast-food chains
164,Dunkin',1995 Amsterdam Ave.,40.83391307,-73.94124772,Top 50 American fast-food chains
165,Domino's,1988 Amsterdam Ave.,40.83377589,-73.94137432,Top 50 American fast-food chains
166,Dunkin',1342 Amsterdam Ave.,40.81364429,-73.95607751,Top 50 American fast-food chains
167,McDonald's,3809 Broadway,40.83496853,-73.94422094,Top 50 American fast-food chains
168,Subway,578 W. 125th St.,40.81529459,-73.95796949,Top 50 American fast-food chains
169,Dunkin',3600 Broadway,40.82843277,-73.9489709,Top 50 American fast-food chains
170,McDonald's,2726 Broadway,40.80008646,-73.96808884,Top 50 American fast-food chains
171,Key Food Supermarket,3550 Broadway,40.826838,-73.950032,Grocery stores
173,Ddy Mini Market & Deli,955 Amsterdam Ave.,40.801017,-73.965302,Grocery stores
174,HB Deli Grocery,3787 Broadway,40.83436,-73.94482,Grocery stores
175,Everfresh Sushi,2840 Broadway,40.804389,-73.966423,Grocery stores
176,Henriquez Grocery Store,500 W. 135th St.,40.818921,-73.952226,Grocery stores
177,Met Fresh Organic Super,3805 Broadway,40.834869,-73.944446,Grocery stores
178,2038 Amsterdam Grocery,2038 Amsterdam Ave.,40.835462,-73.94014,Grocery stores
179,Manuels Grocery,3675 Broadway,40.83088,-73.9473,Grocery stores
180,Frutera El Buen Camino,3888 Broadway,40.837387,-73.942328,Grocery stores
181,Amsterdam Fresh Store,1701 Amsterdam Ave.,40.824713,-73.94799,Grocery stores
182,Tsom,1239 Amsterdam Ave.,40.809847,-73.958849,Grocery stores
183,Familia Fruit Market,3430 Broadway,40.823019,-73.952813,Grocery stores
184,1836 Amsterdam Minimarket,1836 Amsterdam Ave.,40.828972,-73.944883,Grocery stores
185,Mi Bandera Groceries & Metas,1045 St. Nicholas Ave.,40.836615,-73.940073,Grocery stores
186,Archie Grocery,1061 St. Nicholas Ave.,40.837364,-73.94007,Grocery stores
187,Apple Tree Market,1225 Amsterdam Ave.,40.809581,-73.959041,Grocery stores
188,145 Deli & Grocery,1717 Amsterdam Ave.,40.825112,-73.947698,Grocery stores
189,Rivera Fruits & Vegetables,2011 Amsterdam Ave.,40.834485,-73.940852,Grocery stores
190,JP 144 Grocery,1700 Amsterdam Ave.,40.824677,-73.948016,Grocery stores
