title,address,latitude,longitude,retailer_type,,,
Ranch Deli,980 Columbus Ave.,40.800853,-73.961695,"Convenience stores, pharmacies, and delis",,,
Los Vecinos Meat Market,987 Amsterdam Ave.,40.802028,-73.964546,"Convenience stores, pharmacies, and delis",,,
1 Taft Deli,469 W. 157th St.,40.832448,-73.941023,"Convenience stores, pharmacies, and delis",,,
Jar Deli Market,501 W. 134th St.,40.8185,-73.953381,"Convenience stores, pharmacies, and delis",,,
Amsterdam 99 Cent Plus,912 Amsterdam Ave.,40.799609,-73.966326,"Convenience stores, pharmacies, and delis",,,
La Blanda Meat Market,3824 Broadway,40.8354,-73.943765,"Convenience stores, pharmacies, and delis",,,
Jacob Gourmet Food,3661 Broadway,40.830262,-73.947784,"Convenience stores, pharmacies, and delis",,,
A to Z Store 99 Cents,2669 Broadway,40.79833512,-73.96944452,"Convenience stores, pharmacies, and delis",,,
Silver Moon Organic Deli,3840 Broadway,40.836077,-73.943266,"Convenience stores, pharmacies, and delis",,,
The Mexican Culture Deli-Grocery Corp.,2017 Amsterdam Ave.,40.83502,-73.94046,"Convenience stores, pharmacies, and delis",,(am going with what's on street view),
Bahamas Deli Market,3137 Broadway,40.813675,-73.959924,"Convenience stores, pharmacies, and delis",,,
Wejdan Candy & Grocery,3890 Broadway,40.83757,-73.942195,"Convenience stores, pharmacies, and delis",,,
Samad's Gourmet,2867 Broadway,40.805123,-73.966138,"Convenience stores, pharmacies, and delis",,,
Columbia Gourmet Deli,3905 Broadway,40.838109,-73.942063,"Convenience stores, pharmacies, and delis",,,
Manhattanville Deli,1413 Amsterdam Ave.,40.815484,-73.95473,"Convenience stores, pharmacies, and delis",,,
Wally's Deli & Grocery,3345 Broadway,40.820315,-73.955044,"Convenience stores, pharmacies, and delis",,,
Nadal's Deli & Organic,3399 Broadway,40.822063,-73.95377,"Convenience stores, pharmacies, and delis",,,
New Deli 1,3660 Broadway,40.830371,-73.947441,"Convenience stores, pharmacies, and delis",,,
Upper Manhattan Pharmacy,1728 Amsterdam Ave.,40.825622,-73.947321,"Convenience stores, pharmacies, and delis",,,
Duane Reade ,2864 Broadway,40.804903,-73.966046,"Convenience stores, pharmacies, and delis",,,
Joe's Deli,920 Columbus Ave.,40.798663,-73.96329,"Convenience stores, pharmacies, and delis",,,
99 Cent Plus Discount,1967 Amsterdam,40.833144,-73.941833,"Convenience stores, pharmacies, and delis",,,
159 Convenience Corp,1995 Amsterdam Ave.,40.833968,-73.941232,"Convenience stores, pharmacies, and delis",,,
El Refugio Food Corporation,1532 Amsterdam Ave.,40.819361,-73.951902,"Convenience stores, pharmacies, and delis",,,
Amore Deli Grocery,21 Convent Ave.,40.813563,-73.953115,"Convenience stores, pharmacies, and delis",,,
Villa Fundacion Deli & Grocery,1948 Amsterdam Ave.,40.83257,-73.942254,"Convenience stores, pharmacies, and delis",,,
Duane Reade,2683 Broadway,40.79869313,-73.96917702,"Convenience stores, pharmacies, and delis",,,
Vim Drugs,3835 Broadway,40.83596961,-73.94390514,"Convenience stores, pharmacies, and delis",,,
Karnaby Drugs Farmacia,3859 Broadway,40.83718097,-73.94341202,"Convenience stores, pharmacies, and delis",,,
Savory,1840 Amsterdam Ave.,40.829121,-73.944773,"Convenience stores, pharmacies, and delis",,,
Manhattan Fish Market,3344 Broadway,40.820337,-73.954773,Grocery stores,,,
Kims Fish Market,201 W. 104th St.,40.799258,-73.966963,Grocery stores,,,grocery/produce; they do sell the fish fresh (not just cooked)
