,County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
68,New York,625119,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04185,3539,BROADWAY,,,NEW YORK,NY,10031,6000,7,51417190.86,50149.62606,False
69,New York,722576,Store,JAC,LOS AMIGOS FOOD CORP,LOS AMIGOS FOOD,1055,ST NICHOLAS AVE,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,True
70,New York,628323,Store,A,BIG EMPIRE INC,99 CENTS & UP NYC,921,COLUMBUS AVE,,,NEW YORK,NY,10025,2800,7,51417190.86,50149.62606,False
71,New York,705011,Store,JAC,GRAB & GO GOURMET DELI INC,GRAB & GO GOURMET DELI,3920,BROADWAY STORE 1,,,NEW YORK,NY,10032,2800,7,51417190.86,50149.62606,False
72,New York,717698,Store,JAC,ST PHILOPATER MARCURIUS INC,RANCH DELI,856,AMSTERDAM AVE,,,NEW YORK,NY,10025,9000,7,51417190.86,50149.62606,False
73,New York,732893,Store,A,CVS ALBANY LLC,CVS PHARMACY # 11075,2833,BROADWAY,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,False
74,New York,625528,Store,A,RITE AID OF NEW YORK INC,RITE AID 7759,1033,ST NICHOLAS AVE,,,NEW YORK,NY,10032,5000,7,51417190.86,50149.62606,False
75,New York,729139,Store,JAC,MANHATTAN SEAFOOD INC,MANHATTAN SEAFOOD,3344,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
76,New York,742939,Store,JAC,COLUMBIA 1 MARKET INC,COLUMBIA 1 MARKET,20,OLD BROADWAY,,,NEW YORK,NY,10027,0,7,51417190.86,50149.62606,True
77,New York,732926,Store,JAC,KING COLUMBUS GOURMET DELI INC,KING COLUMBUS GOURMET D,900,COLUMBUS AVE,,,NEW YORK,NY,10025,750,7,51417190.86,50149.62606,False
78,New York,734079,Store,JAC,GALLARDO MINIMARKET CORP,GALLARDO MINIMARKET,3478,BROADWAY,,,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,True
79,New York,628893,Store,JAC,J&F MEAT MARKET CORP,J&F MEAT MARKET,1975,AMSTERDAM AVE,,,NEW YORK,NY,10032,3600,7,51417190.86,50149.62606,False
80,New York,718558,Store,JAC,2002 BROTHER DELI GROCERY NY CORP,2002 BROTHER DELI GROCE,507,159TH STREET,,,NEW YORK,NY,10032,2400,7,51417190.86,50149.62606,True
81,New York,625298,Store,JAC,LAMICH CORP,MONDEL CHOCOLATES,2913,BROADWAY,,,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,False
82,New York,625670,Store,JAC,901 COLUMBUS DELI CORP,901 COLUMBUS DELI,901,COLUMBUS AVE,,,NEW YORK,NY,10025,1600,7,51417190.86,50149.62606,False
83,New York,725709,Store,JAC,YDHNY INC,YDHNY SEAFOOD,600,W 160TH STREET,,,NEW YORK,NY,10032,300,7,51417190.86,50149.62606,False
84,New York,723963,Store,JAC,3821 FOOD CORP,SUPER FOOD TOWN,600,WEST 160TH STREET,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
85,New York,724148,Store,JAC,WEST PARK DELI INC,WEST PARK DELI,19,W 103RD ST,,,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,False
86,New York,741994,Store,JAC,528 SUGAR HILL GOURMET DELI CORP,528 SUGAR HILL GOURMET,528,WEST 145TH ST,,,NEW YORK,NY,10031,2000,7,51417190.86,50149.62606,False
87,New York,737409,Store,A,HAIDERAH CANDY AND GROCERY CORP,HAIDERAH CANDY,561,WEST 145TH STREET,,,NEW YORK,NY,10031,500,7,51417190.86,50149.62606,False
88,New York,735024,Store,A,CVS ALBANY LLC,CVS/PHARMACY #10827,3536,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
89,New York,746172,Store,JAC,ELLINGTON DELI DELI CORP THE,THE ELLINGTON DELI DELI,934,COLUMBUS AVE,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,False
90,New York,626943,Store,JAC,RANCHOS FOOD CORP,COLUMBUS FOODMARKET,71-81,W 104TH ST,,,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,True
91,New York,628382,Store,JAC,MARTE WILLIAM,KSY MINI MARKET,996,AMSTERDAM AVE,,,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,True
92,New York,748700,Store,A,MISHKINS PHARMA LLC,MISHKINS PHARMACY,1714,AMSTERDAM AVE,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
93,New York,629375,Store,JAC,GOALS SERVICE STATION INC,SHELL GAS,3260,BROADWAY,,,NEW YORK,NY,10027,750,7,51417190.86,50149.62606,False
94,New York,724712,Store,A,HAMILTON HEIGHTS GROCERY INC,HAMILTON HEIGHTS GROCER,3422,BROADWAY,,,NEW YORK,NY,10031,800,7,51417190.86,50149.62606,False
95,New York,745634,Store,JAC,FREEDOM DELI PLUS CORP,FREEDOM DELI PLUS,908,SAINT NICHOLAS AVE,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,False
96,New York,746864,Store,JAC,CAMILO ROSADO DELI GROCERY CORP,CAMILO ROSADO DELI GROC,2003,AMSTERDAM AVE,,,NEW YORK,NY,10032,2600,7,51417190.86,50149.62606,True
97,New York,748183,Store,JAC,2M ASSOCIATES DISCOUNT STORE INC,2M ASSOCIATES DISCOUNT,1405,AMSTERDAM AVE,,,NEW YORK,NY,10027,1000,7,51417190.86,50149.62606,False
98,New York,729991,Store,JAC,YELLOW BANANA DELI CORPORATION,YELLOW BANANA,1658,AMSTERDAM AVE,,,NEW YORK,NY,10031,450,7,51417190.86,50149.62606,False
99,New York,628067,Store,A,DUANE READE ET AL PRTS,DUANE READE 14417,568-574,W 125TH ST,,,NEW YORK,NY,10027,9000,7,51417190.86,50149.62606,False
