County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery,min_cost_eggs,min_cost_milk,min_cost_chicken_breast_lb,min_cost_oranges,min_cost_salad,min_cost_bread_loaf
New York,724712,Store,A,HAMILTON HEIGHTS GROCERY INC,HAMILTON HEIGHTS GROCER,3422,BROADWAY,NEW YORK,NY,10031,800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,746864,Store,JAC,CAMILO ROSADO DELI GROCERY CORP,CAMILO ROSADO DELI GROCERY,2003,AMSTERDAM AVE,NEW YORK,NY,10032,2600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,728569,Store,JAC,A.L. BROADWAY GROCERY CORP,A.L. BROADWAY GROCERY,3770,BROADWAY,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748904,Store,A,BROADWAY MART 2708 INC,BROADWAY MART,2708,BROADWAY,NEW YORK,NY,10025,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,745362,Store,A,HEIGHTS GROCERY INC,HEIGHTS GROCERY,3801,BROADWAY,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624595,Store,JAC,840 ST NICHOLAS FOOD CORP,840 ST NICHOLAS FD MKT,840,ST NICHOLAS AVE,NEW YORK,NY,10031,1700,7,51417190.86,50149.62606,TRUE,,,,,,
New York,625936,Store,JABC,NAMDOR INC,GRISTEDES 601,2704,BROADWAY,NEW YORK,NY,10025,17000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,741559,Store,JAC,AVI DELI GROCERY INC,AVI DELI GROCERY,1954,AMSTERDAM AVE,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,721123,Store,JAC,PELAEZ PRODUCE CORP,PELAEZ PRODUCE 1/17/201,3557,BROADWAY,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,735609,Store,A,BEST VALUE 99C CORP,BEST VALUE,1802,AMSTERDAM AVENUE,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,627615,Store,JAC,FELO DELI GROCERY CORP,FELO DELI GROCERY,23,W 100TH ST,NEW YORK,NY,10025,1250,7,51417190.86,50149.62606,TRUE,,,,,,
New York,722672,Store,JAC,CARIBBEAN FRIEND FOOD CORP,CARIBBEAN FRIEND FOOD C,3462,BROADWAY,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,738237,Store,A,ISARA MEXICAN TAQUERIA LLC,PUEBLO MAGICO GROCERY,500B,WEST 146TH STREET,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,625186,Store,JAC,BLUE AND WHITE MARKETS INC,MORTON WILLIAMS UNIVERS,2941,BROADWAY,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628211,Store,JAC,MANHATTAN GROCERY CORP,JUANA GROCERY,150,MANHATTAN AVE,NEW YORK,NY,10025,3000,7,51417190.86,50149.62606,TRUE,,,,,,
